SOFTWARE,DATE_RELEASED,VERSION
ONTAP 9,2018.05.10,9.4RC1
ONTAP 9,2018.05.18,9.2P4
ONTAP 9,2018.06.28,9.4RC1
ONTAP 9,2018.11.20,9.5RC1
ONTAP 9,2019.03.03,9.5RC1
ONTAP 9,2019.03.03,9.5RC1
ONTAP 9,2019.05.16,9.5P4
ONTAP 9,2019.05.17,9.6RC1
ONTAP 9,2019.05.17,9.4P7
ONTAP 9,2019.06.04,9.1P19
ONTAP 9,2019.06.06,9.3P13
ONTAP 9,2019.06.21,9.5P5
ONTAP 9,2019.06.23,9.6RC2
ONTAP 9,2019.07.15,9.6
ONTAP 9,2019.07.16,9.5P6
ONTAP 9,2019.07.16,9.3P14
ONTAP 9,2019.07.30,9.6P1
ONTAP 9,2019.07.31,9.3P15
ONTAP 9,2019.08.14,9.6P2
ONTAP 9,2019.08.22,9.5P7
ONTAP 9,2019.10.01,9.5P8
ONTAP 9,2019.10.07,9.6P3
ONTAP 9,2019.10.18,9.3P16
ONTAP 9,2019.11.04,9.6P1
ONTAP 9,2019.11.04,9.4P7
ONTAP 9,2019.11.08,9.3P17
ONTAP 9,2019.11.12,9.3P16
ONTAP 9,2019.11.12,9.5P7
ONTAP 9,2019.11.12,9.5P4
ONTAP 9,2019.11.12,9.6P2
ONTAP 9,2019.11.12,9.5P6
ONTAP 9,2019.11.12,9.3P14
ONTAP 9,2019.11.12,9.3P15
ONTAP 9,2019.11.12,9.6RC2
ONTAP 9,2019.11.12,9.5P5
ONTAP 9,2019.11.12,9.6RC1
ONTAP 9,2019.11.12,9.3P13
ONTAP 9,2019.11.12,9.6
ONTAP 9,2019.11.13,9.6P4
ONTAP 9,2019.11.14,9.5P9
ONTAP 9,2019.11.25,9.7RC1
ONTAP 9,2019.12.17,9.1P20
ONTAP 9,2019.12.18,9.6P5
ONTAP 9,2019.12.20,9.5P10
ONTAP 9,2020.01.13,9.3P18
ONTAP 9,2020.01.23,9.7
ONTAP 9,2020.02.10,9.6P6
ONTAP 9,2020.03.03,9.7P1
ONTAP 9,2020.03.04,9.5P11
ONTAP 9,2020.03.27,9.7P2
ONTAP 9,2020.04.06,9.6P7
ONTAP 9,2020.04.15,9.7
ONTAP 9,2020.04.15,9.5P10
ONTAP 9,2020.04.15,9.5P9
ONTAP 9,2020.04.15,9.4P8
ONTAP 9,2020.04.16,9.6P6
ONTAP 9,2020.04.16,9.5P12
ONTAP 9,2020.04.16,9.6P5
ONTAP 9,2020.04.16,9.6P4
ONTAP 9,2020.04.21,9.7P3
ONTAP 9,2020.04.23,9.7RC1
ONTAP 9,2020.04.23,9.2P4
ONTAP 9,2020.04.23,9.6P3
ONTAP 9,2020.04.27,9.7P1
ONTAP 9,2020.04.27,9.3P17
ONTAP 9,2020.04.27,9.5P11
ONTAP 9,2020.04.29,9.5P8
ONTAP 9,2020.04.29,9.7P2
ONTAP 9,2020.04.30,9.1P19
ONTAP 9,2020.05.28,9.6P8
ONTAP 9,2020.05.29,9.7P4
ONTAP 9,2020.06.08,9.5P13
ONTAP 9,2020.06.25,9.7P5
ONTAP 9,2020.07.16,9.6P9
ONTAP 9,2020.07.21,9.3P19
ONTAP 9,2020.07.30,9.3P18
ONTAP 9,2020.07.30,9.5P12
ONTAP 9,2020.07.30,9.7P4
ONTAP 9,2020.07.30,9.6P8
ONTAP 9,2020.07.30,9.6P7
ONTAP 9,2020.07.31,9.7P6
ONTAP 9,2020.08.13,9.7P3
ONTAP 9,2020.08.21,9.5P14
ONTAP 9,2020.09.03,9.6P10
ONTAP 9,2020.09.03,9.7P7
ONTAP 9,2020.10.02,9.3P20
ONTAP 9,2020.10.22,9.7P8
ONTAP 9,2020.10.23,9.6P11
ONTAP 9,2020.11.04,9.8RC1
ONTAP 9,2020.11.20,9.7P9
ONTAP 9,2020.12.02,9.5P15
ONTAP 9,2020.12.11,9.6P12
ONTAP 9,2020.12.15,9.5P13
ONTAP 9,2020.12.15,9.3P19
ONTAP 9,2020.12.15,9.6P9
ONTAP 9,2020.12.15,9.7P5
ONTAP 9,2020.12.15,9.7P6
ONTAP 9,2020.12.15,9.6P10
ONTAP 9,2020.12.15,9.7P7
ONTAP 9,2020.12.15,9.5P14
ONTAP 9,2020.12.15,9.6P11
ONTAP 9,2020.12.15,9.7P8
ONTAP 9,2020.12.16,9.8
ONTAP 9,2020.12.22,9.7P10
ONTAP 9,2021.01.25,9.7P9
ONTAP 9,2021.01.25,9.7P11
ONTAP 9,2021.01.28,9.3P21
ONTAP 9,2021.01.29,9.8P1
ONTAP 9,2021.02.08,9.5P16
ONTAP 9,2021.02.11,9.8
ONTAP 9,2021.02.11,9.8
ONTAP 9,2021.02.11,9.8RC1
ONTAP 9,2021.02.11,9.7P10
ONTAP 9,2021.02.24,9.6P13
ONTAP 9,2021.02.28,9.6P12
ONTAP 9,2021.02.28,9.3P20
ONTAP 9,2021.02.28,9.5P15
ONTAP 9,2021.03.08,9.8P2
ONTAP 9,2021.03.11,9.7P11
ONTAP 9,2021.03.11,9.7P12
ONTAP 9,2021.04.05,9.8P3
ONTAP 9,2021.04.06,9.8P1
ONTAP 9,2021.04.06,9.8P2
ONTAP 9,2021.04.14,9.6P14
ONTAP 9,2021.04.26,9.7P13
ONTAP 9,2021.05.06,9.9.1RC1
ONTAP 9,2021.05.13,9.8P4
ONTAP 9,2021.05.26,9.5P17
ONTAP 9,2021.06.08,9.6P15
ONTAP 9,2021.06.16,9.8P5
ONTAP 9,2021.06.17,9.9.1
ONTAP 9,2021.06.17,9.7P14
ONTAP 9,2021.06.29,9.5P16
ONTAP 9,2021.06.29,9.9.1RC1
ONTAP 9,2021.06.29,9.8P3
ONTAP 9,2021.06.29,9.8P4
ONTAP 9,2021.06.29,9.6P13
ONTAP 9,2021.06.29,9.7P13
ONTAP 9,2021.06.29,9.7P12
ONTAP 9,2021.06.29,9.6P14
ONTAP 9,2021.07.27,9.9.1P1
ONTAP 9,2021.08.10,9.8P6
ONTAP 9,2021.08.17,9.7P15
ONTAP 9,2021.08.26,9.9.1P2
ONTAP 9,2021.08.30,9.5P18
ONTAP 9,2021.09.21,9.6P16
ONTAP 9,2021.09.25,9.8P7
ONTAP 9,2021.10.03,9.9.1P3
ONTAP 9,2021.10.13,9.7P16
ONTAP 9,2021.10.27,9.9.1P4
ONTAP 9,2021.11.04,9.10.1RC1
ONTAP 9,2021.12.01,9.9.1P5
ONTAP 9,2021.12.14,9.6P17
ONTAP 9,2021.12.16,9.7P17
ONTAP 9,2021.12.21,9.7P16
ONTAP 9,2021.12.21,9.7P15
ONTAP 9,2022.01.12,9.9.1P6
ONTAP 9,2022.01.17,9.5P18
